username,first_name,last_name,email
antwerpen,Antwerpen,Provincie,antwerpen@belgium.be
brugge,Brugge,Provincie,brugge@belgium.be
gent,Gent,Provincie,gent@belgium.be
hasselt,Hasselt,Provincie,hasselt@belgium.be
leuven,Leuven,Provincie,leuven@belgium.be
arlon,Arlon,Province,arlon@belgium.be
liege,Liège,Province,liege@belgium.be
mons,Mons,Province,mons@belgium.be
namur,Namur,Province,namur@belgium.be
wavre,Wavre,Province,wavre@belgium.be
brussel,Brussel,Gewest,brussel@belgium.be
bruxelles,Bruxelles,Région,bruxelles@belgium.be
